前 128 个点的 FFT 结果:
第 26 个点: 26, s3 实部: -1327.082554, s3 虚部: 10.525629, s3 取模: 0.162002, s3 相位: 3.133661, s4 实部: 3.259116, s4 虚部: 2.136863, s4 取模: 0.000476, s4 相位: 0.580342, 相位差: 2.553319
第 27 个点: 27, s3 实部: -1325.228569, s3 虚部: 12.607084, s3 取模: 0.161778, s3 相位: 3.132080, s4 实部: 5.024118, s4 虚部: 1.332227, s4 取模: 0.000634, s4 相位: 0.259201, 相位差: 2.872879
第 28 个点: 28, s3 实部: -1321.457304, s3 虚部: 16.553407, s3 取模: 0.161323, s3 相位: 3.129067, s4 实部: 7.859274, s4 虚部: -0.053170, s4 取模: 0.000959, s4 相位: -0.006765, 相位差: 3.135832
第 29 个点: 29, s3 实部: -1311.386642, s3 虚部: 26.688018, s3 取模: 0.160115, s3 相位: 3.121244, s4 实部: 14.652818, s4 虚部: -3.661727, s4 取模: 0.001844, s4 相位: -0.244884, 相位差: 3.366128
第 30 个点: 30, s3 实部: -1219.445622, s3 虚部: 117.359904, s3 取模: 0.149546, s3 相位: 3.045648, s4 实部: 74.339786, s4 虚部: -37.407941, s4 取模: 0.010159, s4 相位: -0.466206, 相位差: 3.511854
第 31 个点: 31, s3 实部: -1371.744417, s3 虚部: -32.216357, s3 取模: 0.167495, s3 相位: -3.118111, s4 实部: -24.102358, s4 虚部: 19.139801, s4 取模: 0.003757, s4 相位: 2.470457, 相位差: -5.588568
第 32 个点: 32, s3 实部: -1350.104675, s3 虚部: -10.667522, s3 取模: 0.164813, s3 相位: -3.133692, s4 实部: -10.043801, s4 虚部: 11.572507, s4 取模: 0.001871, s4 相位: 2.285592, 相位差: -5.419284
第 33 个点: 33, s3 实部: -1344.010771, s3 虚部: -4.374466, s3 取模: 0.164065, s3 相位: -3.138338, s4 实部: -6.105437, s4 虚部: 9.896526, s4 取模: 0.001419, s4 相位: 2.123569, 相位差: -5.261907
第 34 个点: 34, s3 实部: -1340.940743, s3 虚部: -0.996043, s3 取模: 0.163689, s3 相位: -3.140850, s4 实部: -4.187947, s4 虚部: 9.546555, s4 取模: 0.001273, s4 相位: 1.984202, 相位差: -5.125052
第 35 个点: 35, s3 实部: -1338.861512, s3 虚部: 1.507739, s3 取模: 0.163435, s3 相位: 3.140467, s4 实部: -2.989096, s4 虚部: 9.878473, s4 取模: 0.001260, s4 相位: 1.864625, 相位差: 1.275842
第 36 个点: 36, s3 实部: -1337.062183, s3 虚部: 3.913046, s3 取模: 0.163216, s3 相位: 3.138666, s4 实部: -2.079393, s4 虚部: 10.837733, s4 取模: 0.001347, s4 相位: 1.760359, 相位差: 1.378307
第 37 个点: 37, s3 实部: -1335.056186, s3 虚部: 6.868223, s3 取模: 0.162973, s3 相位: 3.136448, s4 实部: -1.214610, s4 虚部: 12.704451, s4 取模: 0.001558, s4 相位: 1.666112, 相位差: 1.470336
第 38 个点: 38, s3 实部: -1332.066930, s3 虚部: 11.600139, s3 取模: 0.162612, s3 相位: 3.132884, s4 实部: -0.085848, s4 虚部: 16.441965, s4 取模: 0.002007, s4 相位: 1.576018, 相位差: 1.556867
第 39 个点: 39, s3 实部: -1325.388827, s3 虚部: 22.631319, s3 取模: 0.161814, s3 相位: 3.124519, s4 实部: 2.283805, s4 虚部: 26.059661, s4 取模: 0.003193, s4 相位: 1.483382, 相位差: 1.641137
第 40 个点: 40, s3 实部: -1280.293890, s3 虚部: 98.589163, s3 取模: 0.156749, s3 相位: 3.064739, s4 实部: 18.240904, s4 虚部: 94.455178, s4 取模: 0.011743, s4 相位: 1.380028, 相位差: 1.684712
第 41 个点: 41, s3 实部: -1369.137339, s3 虚部: -51.663009, s3 取模: 0.167250, s3 相位: -3.103877, s4 实部: -13.463960, s4 虚部: -41.258469, s4 取模: 0.005298, s4 相位: -1.886233, 相位差: -1.217644
第 42 个点: 42, s3 实部: -1351.443334, s3 虚部: -21.968426, s3 取模: 0.164993, s3 相位: -3.125339, s4 实部: -7.383701, s4 虚部: -14.355179, s4 取模: 0.001971, s4 相位: -2.045864, 相位差: -1.079474
第 43 个点: 43, s3 实部: -1346.966632, s3 虚部: -14.615488, s3 取模: 0.164434, s3 相位: -3.130742, s4 实部: -6.091093, s4 虚部: -7.464636, s4 取模: 0.001176, s4 相位: -2.255213, 相位差: -0.875529
第 44 个点: 44, s3 实部: -1344.944041, s3 虚部: -11.445525, s3 取模: 0.164184, s3 相位: -3.133083, s4 实部: -5.791606, s4 虚部: -4.147367, s4 取模: 0.000870, s4 相位: -2.520143, 相位差: -0.612940
第 45 个点: 45, s3 实部: -1343.838533, s3 虚部: -9.892434, s3 取模: 0.164047, s3 相位: -3.134231, s4 实部: -5.993720, s4 虚部: -2.000728, s4 取模: 0.000771, s4 相位: -2.819418, 相位差: -0.314813
第 46 个点: 46, s3 实部: -1343.215561, s3 虚部: -9.273397, s3 取模: 0.163971, s3 相位: -3.134689, s4 实部: -6.648458, s4 虚部: -0.237106, s4 取模: 0.000812, s4 相位: -3.105945, 相位差: -0.028744
第 47 个点: 47, s3 实部: -1342.942769, s3 虚部: -9.468950, s3 取模: 0.163938, s3 相位: -3.134542, s4 实部: -7.937963, s4 虚部: 1.629512, s4 取模: 0.000989, s4 相位: 2.939125, 相位差: -6.073666
第 48 个点: 48, s3 实部: -1343.070700, s3 虚部: -10.830859, s3 取模: 0.163954, s3 相位: -3.133529, s4 实部: -10.487594, s4 虚部: 4.292132, s4 取模: 0.001383, s4 相位: 2.753131, 相位差: -5.886659
第 49 个点: 49, s3 实部: -1344.086504, s3 虚部: -15.182072, s3 取模: 0.164084, s3 相位: -3.130298, s4 实部: -16.791100, s4 虚部: 9.981522, s4 取模: 0.002385, s4 相位: 2.605262, 相位差: -5.735559
第 50 个点: 50, s3 实部: -1351.693333, s3 虚部: -42.763912, s3 取模: 0.165084, s3 相位: -3.109966, s4 实部: -53.666651, s4 虚部: 41.901270, s4 取模: 0.008311, s4 相位: 2.478688, 相位差: -5.588654
第 51 个点: 51, s3 实部: -1332.593345, s3 虚部: 24.164895, s3 取模: 0.162697, s3 相位: 3.123461, s4 实部: 34.615236, s4 虚部: -34.458585, s4 取模: 0.005962, s4 相位: -0.783130, 相位差: 3.906591
第 52 个点: 52, s3 实部: -1337.339959, s3 虚部: 6.720722, s3 取模: 0.163252, s3 相位: 3.136567, s4 实部: 11.425726, s4 虚部: -14.698465, s4 取模: 0.002273, s4 相位: -0.910025, 相位差: 4.046592
第 53 个点: 53, s3 实部: -1338.328388, s3 虚部: 2.501627, s3 取模: 0.163370, s3 相位: 3.139723, s4 实部: 5.885196, s4 虚部: -10.382621, s4 取模: 0.001457, s4 相位: -1.055123, 相位差: 4.194846
第 54 个点: 54, s3 实部: -1338.725589, s3 虚部: 0.228762, s3 取模: 0.163419, s3 相位: 3.141422, s4 实部: 3.116214, s4 虚部: -8.715167, s4 取模: 0.001130, s4 相位: -1.227401, 相位差: 4.368822
